"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DMAC2",0.0696663964248484,0.312446599958872,0.393,0.261,1
"PANK3",0.0696737907076819,0.292995603274865,0.536,0.432,1
"GALK2",0.0697283473686598,0.745186100971174,0.271,0.17,1
"TCOF1",0.0699219890009789,0.330148601692331,0.357,0.227,1
"B3GAT3",0.069967276856024,-0.415430122778583,0.714,0.784,1
"TMEM129",0.0700659904815852,0.415037499278844,0.379,0.25,1
"OBSL1",0.0700670376025283,0.526545814495834,0.3,0.193,1
"HPS3",0.0702208728869661,0.492420030591208,0.286,0.17,1
"DTNBP1",0.0703467237549569,0.552541023028779,0.279,0.17,1
"CIAPIN1",0.0703988785518533,0.268748057028188,0.493,0.364,1
"SAE1",0.0705124461782589,0.662723940779202,0.364,0.261,1
"GMPS",0.070583705229924,-0.456447760198476,0.414,0.545,1
"CCDC153",0.0706923784825454,0.708660224946061,0.264,0.159,1
"COQ7",0.0706987687701939,-0.388669645763616,0.464,0.591,1
"SNAPC3",0.0707030934776723,0.652076696579693,0.264,0.159,1
"RRP8",0.0707725809760673,0.375952291305455,0.371,0.25,1
"RTKN",0.0710180429654886,0.35184367279165,0.379,0.239,1
"ELAC2",0.0710423072051695,0.652076696579693,0.3,0.193,1
"RANGRF",0.0710847399809573,0.505235308250422,0.379,0.261,1
"FAM193A",0.0711890091080066,0.714812451927656,0.271,0.17,1
"ING1",0.0712850286538236,0.370790586189677,0.543,0.455,1
"NOC3L",0.0712896442687813,0.516561725923212,0.321,0.205,1
"JAK1",0.0715162505022445,-0.313366081383938,0.836,0.909,1
"RABL3",0.0715314017914073,0.400537929583729,0.364,0.239,1
"GCDH",0.0716032449635373,0.315041709302123,0.486,0.364,1
"COP1",0.0716304413044105,0.450442835410043,0.3,0.182,1
"KATNBL1",0.0718971358701889,0.442041481763228,0.364,0.239,1
"SPTY2D1",0.0720364869477597,0.339026753038784,0.6,0.545,1
"BCAR1",0.072192021688582,0.642738832000357,0.357,0.239,1
"AC093297.2",0.072275062579529,0.538256797022531,0.343,0.227,1
"SETD9",0.0723777172351031,0.57407418457842,0.279,0.17,1
"RNASEH1-AS1",0.0725246590370052,0.668950515144089,0.25,0.148,1
"BOLA2",0.0725693010875924,-0.347923303420307,0.521,0.67,1
"SPATA18",0.0727203874692004,0.541652706886042,0.264,0.159,1
"MCL1",0.0727642493408429,0.257312736437397,0.986,1,1
"SLC16A3",0.0728036419154459,0.526068811667588,0.493,0.386,1
"TMCC1",0.0728136450988592,0.636809939926382,0.264,0.159,1
"TCF20",0.0728841702550138,0.35184367279165,0.307,0.193,1
"SAP30",0.0731368401706286,0.802217046007554,0.55,0.466,1
"AC090114.2",0.0731760762364457,0.450442835410043,0.286,0.17,1
"APOL1",0.0733639475791561,0.692718681077039,0.307,0.205,1
